epoch,bpm
1784004938.0,84.0
1784004941.0,82.0
1784004948.0,79.0
1784004951.0,79.0
1784004956.0,79.0
1784004959.0,80.0
1784004966.0,79.0
1784004971.0,77.0
1784004978.0,78.0
1784004981.0,78.0
1784004984.0,80.0
1784004991.0,82.0
1784004997.0,77.0
1784005003.0,78.0
1784005007.0,78.0
1784005010.0,77.0
1784005018.0,77.0
1784005023.0,76.0
1784005025.0,76.0
1784005033.0,74.0
1784005035.0,74.0
1784005043.0,78.0
1784005048.0,77.0
1784005050.0,76.0
1784005058.0,76.0
1784005059.0,77.0
1784005066.0,78.0
1784005072.0,78.0
1784005076.0,79.0
1784005084.0,76.0
1784005089.0,76.0
1784005093.0,76.0
1784005099.0,75.0
1784005103.0,75.0
1784005107.0,76.0
1784005111.0,76.0
1784005119.0,75.0
1784005123.0,76.0
1784005129.0,76.0
1784005130.0,76.0
1784005135.0,76.0
1784005140.0,76.0
1784005148.0,76.0
1784005154.0,78.0
1784005155.0,77.0
1784005164.0,75.0
1784005168.0,74.0
1784005173.0,74.0
1784005178.0,75.0
1784005182.0,75.0
1784005186.0,75.0
1784005193.0,76.0
1784005199.0,76.0
1784005203.0,77.0
1784005205.0,77.0
1784005210.0,83.0
1784005218.0,101.0
1784005220.0,100.0
1784005229.0,81.0
1784005234.0,78.0
1784005239.0,77.0
1784005243.0,77.0
1784005245.0,78.0
1784005252.0,81.0
1784005259.0,86.0
1784005263.0,85.0
1784005266.0,86.0
1784005272.0,86.0
1784005276.0,86.0
1784005283.0,86.0
1784005289.0,85.0
1784005291.0,86.0
1784005296.0,86.0
1784005304.0,84.0
1784005306.0,84.0
1784005314.0,80.0
1784005319.0,80.0
1784005324.0,80.0
1784005327.0,80.0
1784005330.0,81.0
1784005336.0,83.0
1784005342.0,85.0
1784005346.0,85.0
1784005353.0,87.0
1784005357.0,86.0
1784005364.0,83.0
1784005366.0,83.0
1784005372.0,81.0
1784005377.0,81.0
1784005384.0,79.0
1784005389.0,78.0
1784005390.0,78.0
1784005399.0,80.0
1784005400.0,80.0
1784005408.0,86.0
1784005413.0,85.0
1784005415.0,84.0
1784005424.0,79.0
1784005429.0,80.0
1784005430.0,80.0
1784005439.0,84.0
1784005442.0,84.0
1784005445.0,84.0
1784005454.0,83.0
1784005456.0,84.0
1784005463.0,84.0
1784005466.0,84.0
1784005470.0,83.0
1784005478.0,81.0
1784005481.0,81.0
1784005488.0,82.0
1784005494.0,82.0
1784005495.0,82.0
1784005504.0,85.0
1784005507.0,86.0
1784005510.0,84.0
1784005657.0,79.0
